riasec_r_raw_scaled,riasec_i_raw_scaled,riasec_a_raw_scaled,riasec_s_raw_scaled,riasec_e_raw_scaled,riasec_c_raw_scaled,academic_logika,academic_bahasa,academic_sains,academic_sosial,academic_praktik,program_name,rumpun_name
31.25,54.166666666666664,37.5,62.5,52.083333333333336,64.58333333333334,78.75,75.05,81.2,87.6,70.0,Pendidikan Pancasila Dan Kewarganegaraan,Sosial & Hukum
29.166666666666668,54.166666666666664,47.91666666666667,70.83333333333334,54.166666666666664,64.58333333333334,84.6,84.25,74.5,91.25,79.19999999999999,Pendidikan Sosiologi,Sosial & Hukum
20.833333333333336,41.66666666666667,75.0,64.58333333333334,64.58333333333334,37.5,77.85,73.8,81.4,71.25,82.94999999999999,Pendidikan Tari,Pendidikan
35.41666666666667,45.83333333333333,41.66666666666667,62.5,47.91666666666667,62.5,81.15,84.80000000000001,73.0,78.95,73.25,Pendidikan Pancasila Dan Kewarganegaraan,Sosial & Hukum
20.833333333333336,43.75,43.75,72.91666666666666,58.333333333333336,72.91666666666666,75.65,83.0,84.1,82.0,73.0,Pendidikan Guru Pendidikan Anak Usia Dini,Pendidikan
52.083333333333336,68.75,43.75,52.083333333333336,31.25,47.91666666666667,93.15,70.65,94.6,70.0,77.19999999999999,Pendidikan Ilmu Pengetahuan Alam,Sains & Teknologi
33.33333333333333,29.166666666666668,68.75,41.66666666666667,47.91666666666667,35.41666666666667,71.6,80.4,81.8,82.35,79.2,Desain Komunikasi Visual,Seni & Kreatif
37.5,45.83333333333333,41.66666666666667,70.83333333333334,58.333333333333336,79.16666666666666,82.25,81.15,70.0,88.19999999999999,74.7,Pendidikan Pancasila Dan Kewarganegaraan,Sosial & Hukum
20.833333333333336,41.66666666666667,47.91666666666667,87.5,39.58333333333333,54.166666666666664,75.95,78.5,77.1,82.6,70.5,Sastra Inggris,Bahasa & Sastra
45.83333333333333,68.75,37.5,52.083333333333336,27.083333333333332,54.166666666666664,81.6,76.5,87.0,71.0,73.8,Pendidikan Biologi,Sains & Teknologi
39.58333333333333,52.083333333333336,39.58333333333333,56.25,75.0,56.25,81.85,81.6,78.3,88.9,77.4,Manajemen Perdagangan,Ekonomi & Bisnis
29.166666666666668,52.083333333333336,29.166666666666668,58.333333333333336,54.166666666666664,79.16666666666666,80.8,76.3,72.2,80.9,82.05,Perpustakaan Dan Ilmu Informasi,Sosial & Hukum
20.833333333333336,81.25,29.166666666666668,29.166666666666668,43.75,50.0,90.25,81.6,88.6,80.85,76.3,Pendidikan Teknik Informatika,Sains & Teknologi
39.58333333333333,56.25,31.25,56.25,66.66666666666666,64.58333333333334,82.45,73.85,74.5,80.80000000000001,74.9,Ilmu Hukum,Sosial & Hukum
33.33333333333333,27.083333333333332,68.75,70.83333333333334,68.75,47.91666666666667,80.0,77.875,79.6,91.2,79.6,Pendidikan Vokasional Seni Kuliner,Seni & Kreatif
25.0,29.166666666666668,70.83333333333334,64.58333333333334,54.166666666666664,54.166666666666664,74.1,76.45,70.2,75.5,76.9,Pendidikan Tata Rias Dan Kecantikan,Seni & Kreatif
25.0,43.75,50.0,79.16666666666666,56.25,45.83333333333333,72.0,80.35,82.8,84.19999999999999,75.7,Psikologi,Kesehatan
31.25,43.75,37.5,68.75,50.0,62.5,73.85,77.55,81.1,87.6,71.0,Pendidikan Sejarah,Sosial & Hukum
41.66666666666667,47.91666666666667,45.83333333333333,62.5,70.83333333333334,60.416666666666664,77.9,78.2,77.4,83.4,72.3,Pariwisata,Ekonomi & Bisnis
27.083333333333332,52.083333333333336,50.0,72.91666666666666,47.91666666666667,52.083333333333336,81.1,91.75,83.7,87.30000000000001,80.15,Bahasa Dan Sastra Inggris,Bahasa & Sastra
33.33333333333333,41.66666666666667,33.33333333333333,79.16666666666666,58.333333333333336,56.25,78.55,85.45,76.5,81.2,71.05,Pendidikan Keagamaan Islam,Pendidikan
29.166666666666668,54.166666666666664,35.41666666666667,56.25,58.333333333333336,66.66666666666666,83.94999999999999,78.7,72.8,87.25,72.85,Pendidikan Ekonomi,Pendidikan
58.333333333333336,70.83333333333334,12.5,20.833333333333336,35.41666666666667,58.333333333333336,86.95,87.15,82.5,79.9,72.7,Teknologi Rekayasa Sistem Elektronika,Sains & Teknologi
58.333333333333336,39.58333333333333,29.166666666666668,47.91666666666667,66.66666666666666,56.25,73.65,72.9,82.3,82.95,74.1,Agrobisnis,Ekonomi & Bisnis
20.833333333333336,29.166666666666668,60.416666666666664,64.58333333333334,52.083333333333336,47.91666666666667,75.9,79.4,74.3,81.65,70.0,Bahasa Dan Sastra Inggris,Bahasa & Sastra
62.5,64.58333333333334,16.666666666666664,25.0,43.75,47.91666666666667,92.85,77.45,89.9,72.55,79.3,Pendidikan Teknik Elektro,Sains & Teknologi
43.75,45.83333333333333,50.0,72.91666666666666,60.416666666666664,56.25,77.05000000000001,84.55,72.5,83.85,79.35,Pariwisata,Ekonomi & Bisnis
25.0,52.083333333333336,43.75,64.58333333333334,52.083333333333336,58.333333333333336,80.7,75.6,79.7,88.95,72.2,Pendidikan Bahasa Indonesia,Pendidikan
25.0,43.75,56.25,66.66666666666666,68.75,52.083333333333336,80.85,82.1,74.6,83.15,76.45,Ilmu Komunikasi,Sosial & Hukum
27.083333333333332,33.33333333333333,81.25,52.083333333333336,58.333333333333336,39.58333333333333,78.69999999999999,76.3,74.6,75.9,81.05000000000001,Animasi,Seni & Kreatif
33.33333333333333,60.416666666666664,47.91666666666667,60.416666666666664,68.75,72.91666666666666,85.0,82.05000000000001,76.1,82.75,70.0,Pendidikan Ekonomi,Pendidikan
22.916666666666664,39.58333333333333,68.75,56.25,56.25,39.58333333333333,73.75,85.8,79.2,73.85,78.7,Pendidikan Seni Drama Tari Dan Musik,Seni & Kreatif
41.66666666666667,62.5,50.0,60.416666666666664,68.75,68.75,75.5,74.1,82.5,89.9,70.85,Pendidikan Ekonomi,Pendidikan
29.166666666666668,39.58333333333333,52.083333333333336,77.08333333333334,45.83333333333333,52.083333333333336,77.25,78.05,74.4,81.0,76.55,Sastra Indonesia,Bahasa & Sastra
25.0,35.41666666666667,75.0,60.416666666666664,66.66666666666666,29.166666666666668,75.19999999999999,73.1,71.4,76.75,77.35,Pendidikan Tari,Pendidikan
35.41666666666667,39.58333333333333,47.91666666666667,68.75,50.0,60.416666666666664,77.55,76.7,77.0,83.2,74.9,Pendidikan Bahasa Inggris,Pendidikan
33.33333333333333,52.083333333333336,31.25,41.66666666666667,54.166666666666664,81.25,82.65,71.0,70.0,82.4,80.85,Akuntansi,Ekonomi & Bisnis
31.25,31.25,68.75,68.75,68.75,41.66666666666667,80.85,88.55,74.5,74.9,82.05,Pendidikan Vokasional Seni Kuliner,Seni & Kreatif
31.25,39.58333333333333,79.16666666666666,52.083333333333336,62.5,35.41666666666667,73.2,82.9,70.0,79.7,77.69999999999999,Animasi,Seni & Kreatif
56.25,64.58333333333334,27.083333333333332,41.66666666666667,33.33333333333333,50.0,85.5,73.19999999999999,87.3,77.55,81.9,Teknik Geologi,Sains & Teknologi
29.166666666666668,41.66666666666667,43.75,68.75,50.0,58.333333333333336,73.4,86.4,76.65,84.2,76.85,Pendidikan Ilmu Pengetahuan Sosial,Sosial & Hukum
64.58333333333334,62.5,20.833333333333336,25.0,39.58333333333333,62.5,90.95,77.35,79.1,76.3,79.55,Teknik Elektro,Sains & Teknologi
27.083333333333332,50.0,56.25,83.33333333333334,64.58333333333334,66.66666666666666,82.6,81.05000000000001,79.5,88.25,76.65,Pendidikan Luar Biasa,Pendidikan
25.0,64.58333333333334,27.083333333333332,31.25,41.66666666666667,70.83333333333334,96.4,74.8,84.3,72.6,70.0,Pendidikan Teknik Informatika,Sains & Teknologi
37.5,68.75,29.166666666666668,52.083333333333336,70.83333333333334,68.75,78.44999999999999,80.2,70.0,92.0,70.0,Ekonomi Pembangunan,Ekonomi & Bisnis
72.91666666666666,72.91666666666666,18.75,27.083333333333332,45.83333333333333,54.166666666666664,84.6,81.35,86.7,73.2,79.30000000000001,Pendidikan Teknik Elektro,Sains & Teknologi
33.33333333333333,47.91666666666667,35.41666666666667,64.58333333333334,52.083333333333336,45.83333333333333,72.4,82.35,78.2,82.6,73.44999999999999,Administrasi Pendidikan,Sosial & Hukum
35.41666666666667,45.83333333333333,35.41666666666667,70.83333333333334,72.91666666666666,60.416666666666664,81.6,81.4,70.0,83.1,75.3,Manajemen Perhotelan,Ekonomi & Bisnis
58.333333333333336,58.333333333333336,27.083333333333332,27.083333333333332,43.75,47.91666666666667,88.44999999999999,72.85,74.9,74.65,78.05,Teknik Sipil Bangunan Gedung,Sains & Teknologi
47.91666666666667,62.5,62.5,56.25,66.66666666666666,54.166666666666664,73.15,73.35,79.4,75.75,73.4,Teknologi Kosmetik,Sains & Teknologi
33.33333333333333,68.75,35.41666666666667,70.83333333333334,47.91666666666667,66.66666666666666,84.94999999999999,79.55,77.5,87.15,78.05000000000001,Keperawatan,Kesehatan
35.41666666666667,45.83333333333333,45.83333333333333,72.91666666666666,72.91666666666666,52.083333333333336,75.44999999999999,77.55,72.7,85.25,78.35,Manajemen Perhotelan,Ekonomi & Bisnis
16.666666666666664,43.75,60.416666666666664,56.25,50.0,58.333333333333336,80.1,81.05,74.5,90.6,79.15,Pendidikan Bahasa Dan Sastra Indonesia,Pendidikan
